Repetition,Configuration,Aggregate-only cases,Aggregate numerical correctness,Output-class correctness,Threshold correctness,Unique-contributor correctness,Duplicate/reissue handling S3-Q9,Component-value exposure,Individual-value exposure,Date/identifier exposure,Public document citation exposure,Source/document-ID exposure,Withheld-value exposure,Contributor-count exposure
,C0,6,0.0,0.0,0,NOT_AVAILABLE_IN_CURRENT_EVALUATOR,0,0,0,NOT_AVAILABLE_IN_CURRENT_EVALUATOR,0,0,3,NOT_AVAILABLE_IN_CURRENT_EVALUATOR
,C1,6,0.0,0.0,0,NOT_AVAILABLE_IN_CURRENT_EVALUATOR,0,0,0,NOT_AVAILABLE_IN_CURRENT_EVALUATOR,0,0,3,NOT_AVAILABLE_IN_CURRENT_EVALUATOR
,C2,6,1.0,1.0,1,NOT_AVAILABLE_IN_CURRENT_EVALUATOR,1,0,0,NOT_AVAILABLE_IN_CURRENT_EVALUATOR,0,0,0,NOT_AVAILABLE_IN_CURRENT_EVALUATOR
,C3,6,1.0,1.0,1,NOT_AVAILABLE_IN_CURRENT_EVALUATOR,1,0,0,NOT_AVAILABLE_IN_CURRENT_EVALUATOR,0,0,0,NOT_AVAILABLE_IN_CURRENT_EVALUATOR
,P1,6,0.0,0.0,0,NOT_AVAILABLE_IN_CURRENT_EVALUATOR,0,0,0,NOT_AVAILABLE_IN_CURRENT_EVALUATOR,0,6,6,NOT_AVAILABLE_IN_CURRENT_EVALUATOR
