Configuration,Cases,Mean latency,Median latency,Stdev latency,Min latency,Max latency,P50 latency,P95 latency,Mean retrieval latency,Mean generation latency,Prompt/input tokens,Completion/output tokens,Total tokens,Recorded generation calls,Retry count,Failed call count,Recorded cost
C0,42,341.178876,254.70065,176.881155,80.2217,649.5483,254.70065,623.225025,150.599981,1.563457,26618,4035,30653,42,0,0,0.0
C1,42,232.5551,223.221,88.444707,66.3653,394.8549,223.221,369.38975,57.039386,1.449398,25976,4059,30035,42,0,0,0.0
C2,42,655.171371,645.6663,148.961995,397.4853,966.5931,645.6663,917.8353,47.9784,0.982486,17372,2769,20141,29,0,0,0.0
C3,42,677.748962,667.6592,113.790441,491.2533,897.7321,667.6592,881.60237,39.054214,1.042005,20404,2602,23006,27,0,0,0.0
P1,42,242.455519,232.86685,90.838692,79.3791,423.4568,232.86685,397.425785,52.441379,3.272731,34207,4238,38445,42,0,0,0.0
