config,mode,mean_candidate_set_size,mean_retrieved_document_count,mean_retrieved_chunk_count,mean_total_latency_ms,mean_retrieval_latency_ms,mean_generation_latency_ms,total_input_tokens,total_output_tokens,total_tokens,total_provider_cost,provider_cost_note,recall_at_k,precision_at_k,mrr,required_document_retrieval_coverage
C0,C0_VECTOR_ONLY,3.5,3.416667,4.5,198.220833,49.609958,1.026683,7086,1189,8275,0.0,"deterministic mock accounting, not real provider cost",NOT_AVAILABLE_IN_FROZEN_EVALUATOR,NOT_AVAILABLE_IN_FROZEN_EVALUATOR,NOT_AVAILABLE_IN_FROZEN_EVALUATOR,NOT_AVAILABLE_IN_FROZEN_EVALUATOR
C1,C1_VECTOR_ROUTING,2,2,3.916667,191.031592,36.105458,1.181883,6204,1196,7400,0.0,"deterministic mock accounting, not real provider cost",NOT_AVAILABLE_IN_FROZEN_EVALUATOR,NOT_AVAILABLE_IN_FROZEN_EVALUATOR,NOT_AVAILABLE_IN_FROZEN_EVALUATOR,NOT_AVAILABLE_IN_FROZEN_EVALUATOR
C2,C2_PERMISSION_FILTERED,3.5,3.416667,4.5,355.209542,54.862567,1.506425,6749,1079,7828,0.0,"deterministic mock accounting, not real provider cost",NOT_AVAILABLE_IN_FROZEN_EVALUATOR,NOT_AVAILABLE_IN_FROZEN_EVALUATOR,NOT_AVAILABLE_IN_FROZEN_EVALUATOR,NOT_AVAILABLE_IN_FROZEN_EVALUATOR
C3,C3_FULL_ROLE_AWARE,2,2,3.916667,370.604258,37.578333,1.062667,7644,1086,8730,0.0,"deterministic mock accounting, not real provider cost",NOT_AVAILABLE_IN_FROZEN_EVALUATOR,NOT_AVAILABLE_IN_FROZEN_EVALUATOR,NOT_AVAILABLE_IN_FROZEN_EVALUATOR,NOT_AVAILABLE_IN_FROZEN_EVALUATOR
