config,mode,case_count,output_class_accuracy,reason_code_accuracy,permitted_answer_accuracy,false_or_unsupported_answer_rate,false_answer_rate_on_expected_abstentions,false_answer_count,expected_non_answer_count,abstention_precision,abstention_recall,citation_document_coverage,citation_support_precision,page_level_citation_correctness,citation_coverage,safety_error_total,runtime_error_count,deterministic_content_sha256,raw_run_sha256,record_count
C0,C0_VECTOR_ONLY,12,0.916667,0.916667,1.0,1.0,1.0,1,1,,0.0,0.785714,0.846154,0.846154,0.785714,0,0,7b8244203c8eda8e52f4e5ec659324c2c117ea83edfdf5590b9fbe8cdabb034b,927d73e34c05167c730bc531b3aec7f47c293d9938472d6f312041a349273a32,12
C1,C1_VECTOR_ROUTING,12,0.916667,0.916667,1.0,1.0,1.0,1,1,,0.0,0.785714,1.0,1.0,0.785714,0,0,b9271754f1b5c6144d8b543768c65ad6e9ea1360b265778297590573240e3075,4be991cf8bd3cef98c5b8467d20a4499192d23d4e8ce1b696b61c2cb5fc30080,12
C2,C2_PERMISSION_FILTERED,12,1.0,1.0,1.0,0.0,0.0,0,1,1.0,1.0,0.785714,0.846154,0.846154,0.785714,0,0,af054a6188bb265b3462997994a6da3ae3f5e1a8ea0d4c86d060432b85971b3f,9a4885597ed479e7cfe75eb302fdb65d858f9928bbf7dbec63c0c54dfe158641,12
C3,C3_FULL_ROLE_AWARE,12,1.0,1.0,1.0,0.0,0.0,0,1,1.0,1.0,0.785714,1.0,1.0,0.785714,0,0,24afef714fe8bfc4715b41720cff8d44d7fd20b83b6a9786b308ecedb9023c5a,c6106d570ed4227e1b593815a1c2c3b21768d404d5a9eebe2b249d1d406cf322,12
