Configuration,Cases,Output accuracy,Balanced accuracy,Macro recall,Permitted-answer accuracy,Controlled-failure correctness,Citation coverage,Support precision,Page correctness,Safety findings,Tokens,Mean latency,Runtime/parser/provider errors
C0,126,0.690476,0.166667,0.166667,0.324324,0.0,0.369048,0.409639,0.277108,9,136527,3012.469875,0
C1,126,0.690476,0.166667,0.166667,0.324324,0.0,0.357143,0.432432,0.297297,9,132763,2624.235148,0
C2,126,0.738095,0.52682,0.52682,0.459459,0.538462,0.369048,0.578947,0.403509,0,89666,3448.093007,0
C3,126,0.690476,0.515326,0.515326,0.459459,0.538462,0.357143,0.690476,0.52381,0,133254,3300.304078,0
P1,126,0.706349,0.308429,0.308429,0.405405,0.384615,0.353175,0.445,0.325,132,194749,3030.933139,0
