Configuration,Cases,Mean latency,Median latency,Stdev latency,Min latency,Max latency,P50 latency,P95 latency,Mean retrieval latency,Mean generation latency,Prompt/input tokens,Completion/output tokens,Total tokens,Recorded generation calls,Retry count,Failed call count,Recorded cost
C0,126,2929.046995,2665.99555,1087.507397,1072.0016,7822.1059,2665.99555,5063.756525,357.752014,2421.441043,149001,18796,167797,126,0,0,NOT_RECORDED_BY_PROVIDER_ADAPTER
C1,126,5631.08073,5516.67345,1515.116137,2223.455,10045.509,5516.67345,8141.126475,355.915617,2353.708917,144849,18319,163168,126,0,0,NOT_RECORDED_BY_PROVIDER_ADAPTER
C2,126,2607.042176,2797.9269,1558.200683,454.3088,6764.5158,2797.9269,5148.994475,306.890186,1747.697113,96033,14471,110504,87,0,0,NOT_RECORDED_BY_PROVIDER_ADAPTER
C3,126,5164.968423,5475.99015,2599.203081,489.3215,10817.1892,5475.99015,9152.50425,381.033371,1852.683094,145810,14492,160302,81,0,0,NOT_RECORDED_BY_PROVIDER_ADAPTER
P1,126,5675.304056,5805.9743,1846.08571,2076.3491,10246.5142,5805.9743,8520.035475,349.965452,2733.113432,212154,20832,232986,126,0,3,NOT_RECORDED_BY_PROVIDER_ADAPTER
