Configuration,Cases,Mean latency,Median latency,Stdev latency,Min latency,Max latency,P50 latency,P95 latency,Mean retrieval latency,Mean generation latency,Prompt/input tokens,Completion/output tokens,Total tokens,Recorded generation calls,Retry count,Failed call count,Recorded cost
C0,126,3198.564717,2344.90465,8533.460669,58.3774,96798.927,2344.90465,5099.0997,300.695435,1044.570663,128610,7971,136581,126,0,0,NOT_RECORDED_BY_PROVIDER_ADAPTER
C1,126,8030.413585,2190.19045,61976.50141,102.1754,697904.0802,2190.19045,5358.02105,236.31269,7834.898987,102782,6038,108820,104,3,22,NOT_RECORDED_BY_PROVIDER_ADAPTER
C2,126,2677.139003,2469.62085,1394.413073,806.4538,7496.5303,2469.62085,5478.818725,250.984539,911.193885,83304,6541,89845,87,0,0,NOT_RECORDED_BY_PROVIDER_ADAPTER
C3,126,5456.281132,2546.7198,31881.011758,901.2023,360220.3485,2546.7198,5345.16695,241.127023,794.933548,127596,5663,133259,81,0,0,NOT_RECORDED_BY_PROVIDER_ADAPTER
